YearEnd,LocationDesc,Question,Data_Value,Age_years,GeoLocation
2018,New Mexico,Percent of adults aged 18 years and older who have obesity,24.9,65 or older,"(34.52088095200048, -106.24058098499967)"
2017,Kentucky,Percent of adults aged 18 years and older who have obesity,35.9,25 - 34,"(37.645970271, -84.774971048)"
2018,Michigan,Percent of adults aged 18 years and older who have obesity,31.4,25 - 34,"(44.6613195430005, -84.71439026999968)"
2018,Alaska,Percent of adults aged 18 years and older who have obesity,33.4,55 - 64,"(64.84507995700051, -147.72205903599973)"
2018,Utah,Percent of adults aged 18 years and older who have obesity,29.2,65 or older,"(39.360700171000474, -111.58713063499971)"
2018,South Carolina,Percent of adults aged 18 years and older who have obesity,31.5,65 or older,"(33.998821303000454, -81.04537120699968)"
2018,Indiana,Percent of adults aged 18 years and older who have obesity,31.8,25 - 34,"(39.766910452000445, -86.14996019399968)"
2018,Oklahoma,Percent of adults aged 18 years and older who have obesity,35.4,25 - 34,"(35.47203135600046, -97.52107021399968)"
2018,Vermont,Percent of adults aged 18 years and older who have obesity,25.5,65 or older,"(43.62538123900049, -72.51764079099962)"
2018,Arkansas,Percent of adults aged 18 years and older who have obesity,39.6,25 - 34,"(34.74865012400045, -92.27449074299966)"
2014,Puerto Rico,Percent of adults aged 18 years and older who have obesity,33.8,45 - 54,"(18.220833, -66.590149)"
2018,New York,Percent of adults aged 18 years and older who have obesity,18.0,18 - 24,"(42.82700103200045, -75.54397042699964)"
2018,New Jersey,Percent of adults aged 18 years and older who have obesity,12.0,18 - 24,"(40.13057004800049, -74.27369128799967)"
2018,Oregon,Percent of adults aged 18 years and older who have obesity,37.7,45 - 54,"(44.56744942400047, -120.15503132599969)"
2018,Connecticut,Percent of adults aged 18 years and older who have obesity,26.3,65 or older,"(41.56266102000046, -72.64984095199964)"
2018,Virginia,Percent of adults aged 18 years and older who have obesity,30.9,35 - 44,"(37.54268067400045, -78.45789046299967)"
2018,Rhode Island,Percent of adults aged 18 years and older who have obesity,33.1,55 - 64,"(41.70828019300046, -71.52247031399963)"
2018,Kentucky,Percent of adults aged 18 years and older who have obesity,37.0,25 - 34,"(37.645970271000465, -84.77497104799966)"
2018,Minnesota,Percent of adults aged 18 years and older who have obesity,30.0,65 or older,"(46.35564873600049, -94.79420050299967)"
2018,Nebraska,Percent of adults aged 18 years and older who have obesity,35.7,35 - 44,"(41.6410409880005, -99.36572062299967)"
2018,Guam,Percent of adults aged 18 years and older who have obesity,32.3,35 - 44,"(13.444304, 144.793731)"
2018,Alabama,Percent of adults aged 18 years and older who have obesity,38.1,25 - 34,"(32.84057112200048, -86.63186076199969)"
2018,Texas,Percent of adults aged 18 years and older who have obesity,20.8,18 - 24,"(31.827240407000488, -99.42677020599967)"
2018,Illinois,Percent of adults aged 18 years and older who have obesity,16.8,18 - 24,"(40.48501028300046, -88.99771017799969)"
2018,New Mexico,Percent of adults aged 18 years and older who have obesity,35.5,25 - 34,"(34.52088095200048, -106.24058098499967)"
2018,Puerto Rico,Percent of adults aged 18 years and older who have obesity,37.8,35 - 44,"(18.220833, -66.590149)"
2018,Missouri,Percent of adults aged 18 years and older who have obesity,20.6,18 - 24,"(38.635790776000476, -92.56630005299968)"
2018,Nevada,Percent of adults aged 18 years and older who have obesity,28.1,65 or older,"(39.493240390000494, -117.07184056399967)"
2018,West Virginia,Percent of adults aged 18 years and older who have obesity,46.2,35 - 44,"(38.66551020200046, -80.71264013499967)"
2018,Colorado,Percent of adults aged 18 years and older who have obesity,12.0,18 - 24,"(38.843840757000464, -106.13361092099967)"
2018,Wisconsin,Percent of adults aged 18 years and older who have obesity,33.5,45 - 54,"(44.39319117400049, -89.81637074199966)"
2018,Delaware,Percent of adults aged 18 years and older who have obesity,32.5,65 or older,"(39.008830667000495, -75.57774116799965)"
2018,Montana,Percent of adults aged 18 years and older who have obesity,24.1,65 or older,"(47.06652897200047, -109.42442064499971)"
2018,Alabama,Percent of adults aged 18 years and older who have obesity,39.8,45 - 54,"(32.84057112200048, -86.63186076199969)"
2018,Connecticut,Percent of adults aged 18 years and older who have obesity,12.4,18 - 24,"(41.56266102000046, -72.64984095199964)"
2018,Missouri,Percent of adults aged 18 years and older who have obesity,31.3,65 or older,"(38.635790776000476, -92.56630005299968)"
2018,North Carolina,Percent of adults aged 18 years and older who have obesity,31.6,25 - 34,"(35.466220975000454, -79.15925046299964)"
2018,South Dakota,Percent of adults aged 18 years and older who have obesity,33.4,55 - 64,"(44.353130053000484, -100.3735306369997)"
2018,Maryland,Percent of adults aged 18 years and older who have obesity,35.4,55 - 64,"(39.29058096400047, -76.60926011099963)"
2018,Kansas,Percent of adults aged 18 years and older who have obesity,32.9,25 - 34,"(38.34774030000045, -98.20078122699965)"
2018,Hawaii,Percent of adults aged 18 years and older who have obesity,26.5,55 - 64,"(21.304850435000446, -157.85774940299973)"
2018,Florida,Percent of adults aged 18 years and older who have obesity,27.8,65 or older,"(28.932040377000476, -81.92896053899966)"
2018,District of Columbia,Percent of adults aged 18 years and older who have obesity,27.1,35 - 44,"(38.89037138500049, -77.03196112699965)"
2018,Rhode Island,Percent of adults aged 18 years and older who have obesity,16.6,18 - 24,"(41.70828019300046, -71.52247031399963)"
2018,Ohio,Percent of adults aged 18 years and older who have obesity,31.0,25 - 34,"(40.06021014100048, -82.40426005599966)"
2018,Maryland,Percent of adults aged 18 years and older who have obesity,27.4,25 - 34,"(39.29058096400047, -76.60926011099963)"
2018,Indiana,Percent of adults aged 18 years and older who have obesity,37.6,55 - 64,"(39.766910452000445, -86.14996019399968)"
2018,Wisconsin,Percent of adults aged 18 years and older who have obesity,34.8,35 - 44,"(44.39319117400049, -89.81637074199966)"
2018,Tennessee,Percent of adults aged 18 years and older who have obesity,29.2,25 - 34,"(35.68094058000048, -85.77449091399967)"
2018,Florida,Percent of adults aged 18 years and older who have obesity,33.9,35 - 44,"(28.932040377000476, -81.92896053899966)"
2018,Guam,Percent of adults aged 18 years and older who have obesity,23.9,18 - 24,"(13.444304, 144.793731)"
2018,California,Percent of adults aged 18 years and older who have obesity,24.2,65 or older,"(37.63864012300047, -120.99999953799971)"
2018,Iowa,Percent of adults aged 18 years and older who have obesity,39.3,55 - 64,"(42.46940091300047, -93.81649055599968)"
2018,Puerto Rico,Percent of adults aged 18 years and older who have obesity,35.9,25 - 34,"(18.220833, -66.590149)"
2018,Oregon,Percent of adults aged 18 years and older who have obesity,29.5,25 - 34,"(44.56744942400047, -120.15503132599969)"
2018,Arizona,Percent of adults aged 18 years and older who have obesity,36.7,45 - 54,"(34.865970280000454, -111.76381127699972)"
2018,Alaska,Percent of adults aged 18 years and older who have obesity,29.3,25 - 34,"(64.84507995700051, -147.72205903599973)"
2018,Pennsylvania,Percent of adults aged 18 years and older who have obesity,27.6,25 - 34,"(40.79373015200048, -77.86070029399963)"
2018,Rhode Island,Percent of adults aged 18 years and older who have obesity,27.5,25 - 34,"(41.70828019300046, -71.52247031399963)"
2018,Kansas,Percent of adults aged 18 years and older who have obesity,31.0,65 or older,"(38.34774030000045, -98.20078122699965)"
2018,Maine,Percent of adults aged 18 years and older who have obesity,27.7,25 - 34,"(45.254228894000505, -68.98503133599962)"
2018,North Carolina,Percent of adults aged 18 years and older who have obesity,40.3,55 - 64,"(35.466220975000454, -79.15925046299964)"
2018,Wyoming,Percent of adults aged 18 years and older who have obesity,37.4,35 - 44,"(43.23554134300048, -108.10983035299967)"
2018,Ohio,Percent of adults aged 18 years and older who have obesity,32.7,65 or older,"(40.06021014100048, -82.40426005599966)"
2018,Illinois,Percent of adults aged 18 years and older who have obesity,35.7,45 - 54,"(40.48501028300046, -88.99771017799969)"
2018,Missouri,Percent of adults aged 18 years and older who have obesity,41.7,45 - 54,"(38.635790776000476, -92.56630005299968)"
2018,Michigan,Percent of adults aged 18 years and older who have obesity,37.7,55 - 64,"(44.6613195430005, -84.71439026999968)"
2018,Georgia,Percent of adults aged 18 years and older who have obesity,34.9,35 - 44,"(32.83968109300048, -83.62758034599966)"
2018,Tennessee,Percent of adults aged 18 years and older who have obesity,30.7,65 or older,"(35.68094058000048, -85.77449091399967)"
2018,California,Percent of adults aged 18 years and older who have obesity,25.4,25 - 34,"(37.63864012300047, -120.99999953799971)"
2018,Iowa,Percent of adults aged 18 years and older who have obesity,20.9,18 - 24,"(42.46940091300047, -93.81649055599968)"
2018,District of Columbia,Percent of adults aged 18 years and older who have obesity,30.3,55 - 64,"(38.89037138500049, -77.03196112699965)"
2018,New York,Percent of adults aged 18 years and older who have obesity,32.4,45 - 54,"(42.82700103200045, -75.54397042699964)"
2018,Nebraska,Percent of adults aged 18 years and older who have obesity,41.9,55 - 64,"(41.6410409880005, -99.36572062299967)"
2018,Utah,Percent of adults aged 18 years and older who have obesity,16.9,18 - 24,"(39.360700171000474, -111.58713063499971)"
2018,Louisiana,Percent of adults aged 18 years and older who have obesity,33.9,25 - 34,"(31.31266064400046, -92.44568007099969)"
2018,New Hampshire,Percent of adults aged 18 years and older who have obesity,39.0,35 - 44,"(43.65595011300047, -71.50036091999965)"
2018,Mississippi,Percent of adults aged 18 years and older who have obesity,45.4,35 - 44,"(32.745510099000455, -89.53803082499968)"
2016,West Virginia,Percent of adults aged 18 years and older who have obesity,46.3,45 - 54,"(38.665510202, -80.712640135)"
2018,Michigan,Percent of adults aged 18 years and older who have obesity,18.9,18 - 24,"(44.6613195430005, -84.71439026999968)"
2018,Oregon,Percent of adults aged 18 years and older who have obesity,35.8,55 - 64,"(44.56744942400047, -120.15503132599969)"
2018,Virginia,Percent of adults aged 18 years and older who have obesity,37.6,45 - 54,"(37.54268067400045, -78.45789046299967)"
2018,Minnesota,Percent of adults aged 18 years and older who have obesity,26.9,25 - 34,"(46.35564873600049, -94.79420050299967)"
2018,Louisiana,Percent of adults aged 18 years and older who have obesity,40.2,55 - 64,"(31.31266064400046, -92.44568007099969)"
2018,Illinois,Percent of adults aged 18 years and older who have obesity,37.6,35 - 44,"(40.48501028300046, -88.99771017799969)"
2018,Iowa,Percent of adults aged 18 years and older who have obesity,34.0,65 or older,"(42.46940091300047, -93.81649055599968)"
2018,Missouri,Percent of adults aged 18 years and older who have obesity,37.8,55 - 64,"(38.635790776000476, -92.56630005299968)"
2018,Guam,Percent of adults aged 18 years and older who have obesity,32.3,45 - 54,"(13.444304, 144.793731)"
2018,Virginia,Percent of adults aged 18 years and older who have obesity,35.2,55 - 64,"(37.54268067400045, -78.45789046299967)"
2018,North Dakota,Percent of adults aged 18 years and older who have obesity,21.1,18 - 24,"(47.47531977900047, -100.11842104899966)"
2018,District of Columbia,Percent of adults aged 18 years and older who have obesity,19.0,25 - 34,"(38.89037138500049, -77.03196112699965)"
2018,Utah,Percent of adults aged 18 years and older who have obesity,32.8,55 - 64,"(39.360700171000474, -111.58713063499971)"
2018,New Hampshire,Percent of adults aged 18 years and older who have obesity,34.0,45 - 54,"(43.65595011300047, -71.50036091999965)"
2018,Connecticut,Percent of adults aged 18 years and older who have obesity,31.2,55 - 64,"(41.56266102000046, -72.64984095199964)"
2018,North Carolina,Percent of adults aged 18 years and older who have obesity,27.6,65 or older,"(35.466220975000454, -79.15925046299964)"
2018,Oklahoma,Percent of adults aged 18 years and older who have obesity,24.2,18 - 24,"(35.47203135600046, -97.52107021399968)"
2018,Arkansas,Percent of adults aged 18 years and older who have obesity,40.3,55 - 64,"(34.74865012400045, -92.27449074299966)"
2018,North Dakota,Percent of adults aged 18 years and older who have obesity,34.3,65 or older,"(47.47531977900047, -100.11842104899966)"
2018,South Carolina,Percent of adults aged 18 years and older who have obesity,40.2,35 - 44,"(33.998821303000454, -81.04537120699968)"
2018,Nebraska,Percent of adults aged 18 years and older who have obesity,41.0,45 - 54,"(41.6410409880005, -99.36572062299967)"
2018,Kansas,Percent of adults aged 18 years and older who have obesity,21.8,18 - 24,"(38.34774030000045, -98.20078122699965)"
2018,Washington,Percent of adults aged 18 years and older who have obesity,28.9,35 - 44,"(47.52227862900048, -120.47001078999972)"
2018,Kentucky,Percent of adults aged 18 years and older who have obesity,18.5,18 - 24,"(37.645970271000465, -84.77497104799966)"
2018,Hawaii,Percent of adults aged 18 years and older who have obesity,31.1,45 - 54,"(21.304850435000446, -157.85774940299973)"
2018,Nevada,Percent of adults aged 18 years and older who have obesity,34.2,35 - 44,"(39.493240390000494, -117.07184056399967)"
2018,Indiana,Percent of adults aged 18 years and older who have obesity,22.6,18 - 24,"(39.766910452000445, -86.14996019399968)"
2018,Montana,Percent of adults aged 18 years and older who have obesity,33.6,55 - 64,"(47.06652897200047, -109.42442064499971)"
2018,West Virginia,Percent of adults aged 18 years and older who have obesity,48.2,45 - 54,"(38.66551020200046, -80.71264013499967)"
2018,Vermont,Percent of adults aged 18 years and older who have obesity,31.1,55 - 64,"(43.62538123900049, -72.51764079099962)"
2018,Alabama,Percent of adults aged 18 years and older who have obesity,42.0,35 - 44,"(32.84057112200048, -86.63186076199969)"
2018,Indiana,Percent of adults aged 18 years and older who have obesity,32.6,65 or older,"(39.766910452000445, -86.14996019399968)"
2018,Oklahoma,Percent of adults aged 18 years and older who have obesity,29.4,65 or older,"(35.47203135600046, -97.52107021399968)"
2018,South Dakota,Percent of adults aged 18 years and older who have obesity,36.2,45 - 54,"(44.353130053000484, -100.3735306369997)"
2018,Idaho,Percent of adults aged 18 years and older who have obesity,31.0,35 - 44,"(43.682630005000476, -114.3637300419997)"
